# Zeit / s, Strecke / m
9.96100,20.95674
10.02100,21.08922
10.08101,21.22210
10.14101,21.35416
10.20102,21.48729
10.26103,21.62028
10.32103,21.75356
10.38104,21.88584
10.44104,22.01805
10.50105,22.15098
10.56106,22.28417
10.62106,22.41642
10.68107,22.54990
10.74107,22.68399
10.80108,22.81782
10.86109,22.95158
10.92109,23.08448
10.98110,23.21813
11.04110,23.35244
11.10111,23.48586
11.16112,23.61917
11.22112,23.75351
11.28113,23.88809
11.34113,24.02297
11.40114,24.15787
11.46115,24.29166
11.52115,24.42513
11.58116,24.55995
11.64116,24.69549
11.70117,24.82917
11.76118,24.96410
11.82118,25.09954
11.88119,25.23511
11.94119,25.37062
12.00120,25.50588
12.06121,25.64136
12.12121,25.77591
12.18122,25.91116
12.24122,26.04641
12.30123,26.18117
12.36124,26.31690
12.42124,26.45198
12.48125,26.58670
12.54125,26.72220
12.60126,26.85679
12.66127,26.99224
12.72127,27.12846
12.78128,27.26382
12.84128,27.40096
12.90129,27.53676
12.96130,27.67240
13.02130,27.80883
13.08131,27.94471
13.14131,28.08142
13.20132,28.21792
13.26133,28.35586
13.32133,28.49267
13.38134,28.62850
13.44134,28.76550
13.50135,28.90235
13.56136,29.03799
13.62136,29.17501
13.68137,29.31192
13.74137,29.44858
13.80138,29.58605
13.86139,29.72324
13.92139,29.86135
13.98140,29.99831
14.04140,30.13594
14.10141,30.27378
14.16142,30.41129
14.22142,30.54899
14.28143,30.68693
14.34143,30.82475
14.40144,30.96321
14.46145,31.10260
14.52145,31.24081
14.58146,31.37865
14.64146,31.51662
14.70147,31.65489
14.76148,31.79345
14.82148,31.93205
14.88149,32.07068
14.94149,32.20880
15.00150,32.34748
15.06151,32.48653
15.12151,32.62608
15.18152,32.76382
15.24152,32.90301
15.30153,33.04228
15.36154,33.18176
15.42154,33.32126
15.48155,33.46137
15.54155,33.60048
15.60156,33.74074
15.66157,33.87992
15.72157,34.01976
15.78158,34.15889
15.84158,34.29961
15.90159,34.43939
15.96160,34.57943
16.02160,34.71958
16.08161,34.86012
16.14161,34.99951
16.20162,35.13924
16.26163,35.28030
16.32163,35.42026
16.38164,35.56149
16.44164,35.70136
16.50165,35.84288
16.56166,35.98393
16.62166,36.12545
16.68167,36.26605
16.74167,36.40756
16.80168,36.54782
16.86169,36.68883
16.92169,36.83015
16.98170,36.97150
17.04170,37.11173
17.10171,37.25351
17.16172,37.39496
17.22172,37.53634
17.28173,37.67824
17.34173,37.81999
17.40174,37.96100
17.46175,38.10366
17.52175,38.24476
17.58176,38.38599
17.64176,38.52775
17.70177,38.66965
17.76178,38.81291
17.82178,38.95559
17.88179,39.09661
17.94179,39.23900
18.00180,39.38117
18.06181,39.52307
18.12181,39.66489
18.18182,39.80675
18.24182,39.94850
18.30183,40.09040
18.36184,40.23300
18.42184,40.37533
18.48185,40.51847
18.54185,40.66125
18.60186,40.80470
18.66187,40.94716
18.72187,41.09024
18.78188,41.23376
18.84188,41.37708
18.90189,41.52080
18.96190,41.66435
19.02190,41.80760
19.08191,41.95161
19.14191,42.09544
19.20192,42.23908
19.26193,42.38342
19.32193,42.52835
19.38194,42.67258
19.44194,42.81777
19.50195,42.96191
19.56196,43.10573
19.62196,43.24980
19.68197,43.39568
19.74197,43.53967
19.80198,43.68446
19.86199,43.82989
19.92199,43.97422
19.98200,44.11913
20.04200,44.26402
20.10201,44.40931
20.16202,44.55343
20.22202,44.69837
20.28203,44.84302
20.34203,44.98951
20.40204,45.13502
20.46205,45.28022
20.52205,45.42624
20.58206,45.57218
20.64206,45.71894
20.70207,45.86421
20.76208,46.01143
20.82208,46.15772
20.88209,46.30402
20.94209,46.45070
21.00210,46.59713
21.06211,46.74266
21.12211,46.88893
21.18212,47.03495
21.24212,47.18177
21.30213,47.32912
21.36214,47.47651
21.42214,47.62349
21.48215,47.76973
21.54215,47.91623
21.60216,48.06274
21.66217,48.20963
21.72217,48.35634
21.78218,48.50420
21.84218,48.65047
21.90219,48.79763
21.96220,48.94446
22.02220,49.09182
22.08221,49.23908
22.14221,49.38611
22.20222,49.53300
22.26223,49.68130
22.32223,49.82840
22.38224,49.97670
22.44224,50.12512
22.50225,50.27231
22.56226,50.42038
22.62226,50.56799
22.68227,50.71568
22.74227,50.86353
22.80228,51.01231
22.86229,51.16220
22.92229,51.31215
22.98230,51.46188
23.04230,51.61083
23.10231,51.75969
23.16232,51.90793
23.22232,52.05706
23.28233,52.20583
23.34233,52.35561
23.40234,52.50480
23.46235,52.65318
23.52235,52.80327
23.58236,52.95232
23.64236,53.10256
23.70237,53.25222
23.76238,53.40309
23.82238,53.55228
23.88239,53.70279
23.94239,53.85338
24.00240,54.00322
24.06241,54.15387
24.12241,54.30354
24.18242,54.45343
24.24242,54.60370
24.30243,54.75369
24.36244,54.90435
24.42244,55.05366
24.48245,55.20497
24.54245,55.35443
24.60246,55.50484
24.66247,55.65598
24.72247,55.80771
24.78248,55.95907
24.84248,56.11129
24.90249,56.26287
24.96250,56.41392
25.02250,56.56614
25.08251,56.71618
25.14251,56.86708
25.20252,57.01948
25.26253,57.17080
25.32253,57.32254
25.38254,57.47455
25.44254,57.62744
25.50255,57.77963
25.56256,57.93082
25.62256,58.08274
25.68257,58.23354
25.74257,58.38574
25.80258,58.53699
25.86259,58.68895
25.92259,58.84109
25.98260,58.99387
26.04260,59.14646
26.10261,59.29932
26.16262,59.45269
26.22262,59.60474
26.28263,59.75886
26.34263,59.91170
26.40264,60.06518
26.46265,60.21780
26.52265,60.37027
26.58266,60.52445
26.64266,60.67720
26.70267,60.83069
26.76268,60.98488
26.82268,61.13949
26.88269,61.29408
26.94269,61.44781
27.00270,61.60199
27.06271,61.75685
27.12271,61.91066
27.18272,62.06500
27.24272,62.21862
27.30273,62.37240
27.36274,62.52544
27.42274,62.67935
27.48275,62.83367
27.54275,62.98911
27.60276,63.14378
27.66277,63.29860
27.72277,63.45362
27.78278,63.60909
27.84278,63.76447
27.90279,63.91952
27.96280,64.07367
28.02280,64.22912
28.08281,64.38437
28.14281,64.54042
28.20282,64.69471
28.26283,64.85006
28.32283,65.00550
28.38284,65.16016
28.44284,65.31658
28.50285,65.47247
28.56286,65.62824
28.62286,65.78352
28.68287,65.93973
28.74287,66.09476
28.80288,66.25044
28.86289,66.40645
28.92289,66.56312
28.98290,66.72002
29.04290,66.87647
29.10291,67.03267
29.16292,67.18938
29.22292,67.34570
29.28293,67.50238
29.34293,67.66056
29.40294,67.81841
29.46295,67.97524
29.52295,68.13186
29.58296,68.28922
29.64296,68.44652
29.70297,68.60256
29.76298,68.75955
29.82298,68.91764
29.88299,69.07448
29.94299,69.23229
30.00300,69.38914
30.06301,69.54746
30.12301,69.70413
30.18302,69.86192
30.24302,70.02047
30.30303,70.17784
30.36304,70.33487
30.42304,70.49291
30.48305,70.65168
30.54305,70.81024
30.60306,70.96785
30.66307,71.12617
30.72307,71.28491
30.78308,71.44253
30.84308,71.60015
30.90309,71.75892
30.96310,71.91647
31.02310,72.07575
31.08311,72.23513
31.14311,72.39437
31.20312,72.55208
31.26313,72.71043
31.32313,72.86950
31.38314,73.02890
31.44314,73.18793
31.50315,73.34693
31.56316,73.50689
31.62316,73.66678
31.68317,73.82702
31.74317,73.98614
31.80318,74.14511
31.86319,74.30502
31.92319,74.46552
31.98320,74.62526
32.04320,74.78573
32.10321,74.94715
32.16322,75.10730
32.22322,75.26846
32.28323,75.42848
32.34323,75.58922
32.40324,75.74932
32.46325,75.90952
32.52325,76.07045
32.58326,76.23046
32.64326,76.39095
32.70327,76.55188
32.76328,76.71267
32.82328,76.87458
32.88329,77.03601
32.94329,77.19634
33.00330,77.35857
33.06331,77.52043
33.12331,77.68319
33.18332,77.84365
33.24332,78.00549
33.30333,78.16685
33.36334,78.32869
33.42334,78.49063
33.48335,78.65274
33.54335,78.81327
33.60336,78.97508
33.66337,79.13653
33.72337,79.29836
33.78338,79.46076
33.84338,79.62289
33.90339,79.78615
33.96340,79.94748
34.02340,80.10959
34.08341,80.27195
34.14341,80.43444
34.20342,80.59637
34.26343,80.75810
34.32343,80.92012
34.38344,81.08349
34.44344,81.24742
34.50345,81.41039
34.56346,81.57418
34.62346,81.73706
34.68347,81.90017
34.74347,82.06400
34.80348,82.22847
34.86349,82.39257
34.92349,82.55679
34.98350,82.72018
35.04350,82.88525
35.10351,83.04812
35.16352,83.21167
35.22352,83.37597
35.28353,83.54087
35.34353,83.70599
35.40354,83.87132
35.46355,84.03585
35.52355,84.19975
35.58356,84.36391
35.64356,84.52870
35.70357,84.69403
35.76358,84.85938
35.82358,85.02471
35.88359,85.18934
35.94359,85.35512
36.00360,85.52020
36.06361,85.68617
36.12361,85.85199
36.18362,86.01637
36.24362,86.18190
36.30363,86.34588
36.36364,86.51208
36.42364,86.67643
36.48365,86.84251
36.54365,87.00730
36.60366,87.17417
36.66367,87.33993
36.72367,87.50523
36.78368,87.67142
36.84368,87.83798
36.90369,88.00365
36.96370,88.16953
37.02370,88.33507
37.08371,88.50070
37.14371,88.66810
37.20372,88.83569
37.26373,89.00166
37.32373,89.16761
37.38374,89.33491
37.44374,89.50310
37.50375,89.67016
37.56376,89.83796
37.62376,90.00348
37.68377,90.16968
37.74377,90.33667
37.80378,90.50342
37.86379,90.67096
37.92379,90.83794
37.98380,91.00475
38.04380,91.17334
38.10381,91.34200
38.16382,91.50944
38.22382,91.67768
38.28383,91.84588
38.34383,92.01247
38.40384,92.18047
38.46385,92.34821
38.52385,92.51715
38.58386,92.68525
38.64386,92.85496
38.70387,93.02465
38.76388,93.19361
38.82388,93.36307
38.88389,93.53201
38.94389,93.70041
39.00390,93.86892
39.06391,94.03718
39.12391,94.20654
39.18392,94.37436
39.24392,94.54410
39.30393,94.71386
39.36394,94.88340
39.42394,95.05310
39.48395,95.22226
39.54395,95.39192
39.60396,95.56209
39.66397,95.73106
39.72397,95.90039
39.78398,96.07064
39.84398,96.24105
39.90399,96.41183
39.96400,96.58161
40.02400,96.75103
40.08401,96.92112
40.14401,97.09095
40.20402,97.26129
40.26403,97.43247
40.32403,97.60305
40.38404,97.77354
40.44404,97.94411
40.50405,98.11610
40.56406,98.28665
40.62406,98.45737
40.68407,98.62797
40.74407,98.79987
40.80408,98.97047
40.86409,99.14141
40.92409,99.31290
40.98410,99.48467
41.04410,99.65595
41.10411,99.82738
41.16412,99.99805
41.22412,100.16876
41.28413,100.33976
41.34413,100.51179
41.40414,100.68341
41.46415,100.85401
41.52415,101.02482
41.58416,101.19673
41.64416,101.36979
41.70417,101.54300
41.76418,101.71478
41.82418,101.88629
41.88419,102.05784
41.94419,102.23070
42.00420,102.40482
42.06421,102.57617
42.12421,102.75008
42.18422,102.92368
42.24422,103.09626
42.30423,103.26995
42.36424,103.44257
42.42424,103.61659
42.48425,103.78964
42.54425,103.96276
42.60426,104.13606
42.66427,104.31017
42.72427,104.48475
42.78428,104.65742
42.84428,104.83187
42.90429,105.00478
42.96430,105.17903
43.02430,105.35148
43.08431,105.52622
43.14431,105.70147
43.20432,105.87672
43.26433,106.05137
43.32433,106.22631
43.38434,106.40093
43.44434,106.57521
43.50435,106.74924
43.56436,106.92373
43.62436,107.09822
43.68437,107.27369
43.74437,107.44779
43.80438,107.62269
43.86439,107.79833
43.92439,107.97461
43.98440,108.14849
44.04440,108.32350
44.10441,108.49772
44.16442,108.67447
44.22442,108.85098
44.28443,109.02592
44.34443,109.20269
44.40444,109.37753
44.46445,109.55354
44.52445,109.72818
44.58446,109.90407
44.64446,110.08019
44.70447,110.25632
44.76448,110.43105
44.82448,110.60797
44.88449,110.78414
44.94449,110.95994
45.00450,111.13783
45.06451,111.31284
45.12451,111.48891
45.18452,111.66591
45.24452,111.84241
45.30453,112.02019
45.36454,112.19721
45.42454,112.37378
45.48455,112.55045
45.54455,112.72703
45.60456,112.90526
45.66457,113.08219
45.72457,113.25834
45.78458,113.43638
45.84458,113.61334
45.90459,113.79031
45.96460,113.96774
46.02460,114.14497
46.08461,114.32143
46.14461,114.49987
46.20462,114.67842
46.26463,114.85560
46.32463,115.03316
46.38464,115.21145
46.44464,115.38977
46.50465,115.56723
46.56466,115.74517
46.62466,115.92208
46.68467,116.09983
46.74467,116.27823
46.80468,116.45753
46.86469,116.63661
46.92469,116.81597
46.98470,116.99602
47.04470,117.17335
47.10471,117.35182
47.16472,117.53083
47.22472,117.71042
47.28473,117.88991
47.34473,118.07021
47.40474,118.24822
47.46475,118.42783
47.52475,118.60690
47.58476,118.78590
47.64476,118.96570
47.70477,119.14485
47.76478,119.32466
47.82478,119.50534
47.88479,119.68539
47.94479,119.86571
48.00480,120.04647
48.06481,120.22690
48.12481,120.40746
48.18482,120.58805
48.24482,120.76952
48.30483,120.95073
48.36484,121.13017
48.42484,121.31188
48.48485,121.49195
48.54485,121.67323
48.60486,121.85391
48.66487,122.03652
48.72487,122.21676
48.78488,122.39754
48.84488,122.57722
48.90489,122.75789
48.96490,122.93879
49.02490,123.12048
49.08491,123.30113
49.14491,123.48167
49.20492,123.66455
49.26493,123.84651
49.32493,124.02753
49.38494,124.20926
49.44494,124.39145
49.50495,124.57276
49.56496,124.75458
49.62496,124.93535
49.68497,125.11635
49.74497,125.29869
49.80498,125.48164
49.86499,0.00094
49.92499,0.18283
49.98500,0.36473
50.04500,0.54597
50.10501,0.72952
50.16502,0.91231
50.22502,1.09344
50.28503,1.27615
50.34503,1.45855
50.40504,1.64127
50.46505,1.82460
50.52505,2.00796
50.58506,2.19000
50.64506,2.37201
50.70507,2.55613
50.76508,2.73975
50.82508,2.92380
50.88509,3.10823
50.94509,3.29268
51.00510,3.47751
51.06511,3.66135
51.12511,3.84653
51.18512,4.02898
51.24512,4.21261
51.30513,4.39612
51.36514,4.57961
51.42514,4.76433
51.48515,4.94864
51.54515,5.13386
51.60516,5.31878
51.66517,5.50312
51.72517,5.68725
51.78518,5.87258
51.84518,6.05730
51.90519,6.24295
51.96520,6.42780
52.02520,6.61313
52.08521,6.79847
52.14521,6.98372
52.20522,7.17004
52.26523,7.35509
52.32523,7.54054
52.38524,7.72673
52.44524,7.91142
52.50525,8.09628
52.56526,8.28204
52.62526,8.46741
52.68527,8.65354
52.74527,8.83830
52.80528,9.02563
52.86529,9.21151
52.92529,9.39751
52.98530,9.58523
53.04530,9.77233
53.10531,9.95954
53.16532,10.14687
53.22532,10.33268
53.28533,10.51862
53.34533,10.70391
53.40534,10.89009
53.46535,11.07593
53.52535,11.26184
53.58536,11.44802
53.64536,11.63569
53.70537,11.82254
53.76538,12.01077
53.82538,12.19773
53.88539,12.38574
53.94539,12.57329
54.00540,12.76067
54.06541,12.94726
54.12541,13.13456
54.18542,13.32318
54.24542,13.51007
54.30543,13.69777
54.36544,13.88565
54.42544,14.07316
54.48545,14.26041
54.54545,14.44955
54.60546,14.63632
54.66547,14.82475
54.72547,15.01359
54.78548,15.20137
54.84548,15.38998
54.90549,15.57874
54.96550,15.76693
55.02550,15.95555
55.08551,16.14512
55.14551,16.33353
55.20552,16.52176
55.26553,16.71158
55.32553,16.90012
55.38554,17.08979
55.44554,17.27844
55.50555,17.46891
55.56556,17.65803
55.62556,17.84726
55.68557,18.03639
55.74557,18.22728
55.80558,18.41769
55.86559,18.60646
55.92559,18.79676
55.98560,18.98696
56.04560,19.17736
56.10561,19.36886
56.16562,19.55859
56.22562,19.74801
56.28563,19.93830
56.34563,20.12941
56.40564,20.31851
56.46565,20.50769
56.52565,20.69828
56.58566,20.88871
56.64566,21.08007
56.70567,21.27137
56.76568,21.46167
56.82568,21.65289
56.88569,21.84423
56.94569,22.03560
57.00570,22.22780
57.06571,22.41968
57.12571,22.61112
57.18572,22.80277
57.24572,22.99518
57.30573,23.18847
57.36574,23.37958
57.42574,23.57161
57.48575,23.76341
57.54575,23.95537
57.60576,24.14750
57.66577,24.33966
57.72577,24.53087
57.78578,24.72276
57.84578,24.91600
57.90579,25.10781
57.96580,25.30043
58.02580,25.49368
58.08581,25.68657
58.14581,25.87820
58.20582,26.07063
58.26583,26.26381
58.32583,26.45575
58.38584,26.64935
58.44584,26.84234
58.50585,27.03571
58.56586,27.22881
58.62586,27.42168
58.68587,27.61510
58.74587,27.80838
58.80588,28.00263
58.86589,28.19490
58.92589,28.38818
58.98590,28.58242
59.04590,28.77572
59.10591,28.97009
59.16592,29.16415
59.22592,29.35751
59.28593,29.55235
59.34593,29.74705
59.40594,29.94119
59.46595,30.13502
59.52595,30.32909
59.58596,30.52359
59.64596,30.71859
59.70597,30.91330
59.76598,31.10805
59.82598,31.30344
59.88599,31.49943
59.94599,31.69377
60.00600,31.88807
60.06601,32.08315
60.12601,32.27830
60.18602,32.47354
60.24602,32.66978
60.30603,32.86611
60.36604,33.06102
60.42604,33.25642
60.48605,33.45192
60.54605,33.64922
60.60606,33.84425
60.66607,34.04108
60.72607,34.23692
60.78608,34.43249
60.84608,34.62822
60.90609,34.82433
60.96610,35.02122
61.02610,35.21741
61.08611,35.41331
61.14611,35.60901
61.20612,35.80417
61.26613,36.00163
61.32613,36.19860
61.38614,36.39468
61.44614,36.59096
61.50615,36.78877
61.56616,36.98632
61.62616,37.18344
61.68617,37.38204
61.74617,37.57956
61.80618,37.77600
61.86619,37.97237
61.92619,38.17164
61.98620,38.36960
62.04620,38.56701
62.10621,38.76597
62.16622,38.96312
62.22622,39.16027
62.28623,39.35695
62.34623,39.55488
62.40624,39.75252
62.46625,39.95011
62.52625,40.14717
62.58626,40.34583
62.64626,40.54410
62.70627,40.74320
62.76628,40.94016
62.82628,41.13910
62.88629,41.33604
62.94629,41.53592
63.00630,41.73493
63.06631,41.93303
63.12631,42.13158
63.18632,42.33127
63.24632,42.52878
63.30633,42.72891
63.36634,42.92898
63.42634,43.12751
63.48635,43.32563
63.54635,43.52494
63.60636,43.72360
63.66637,43.92196
63.72637,44.12141
63.78638,44.32064
63.84638,44.52022
63.90639,44.71892
63.96640,44.91841
64.02640,45.11750
64.08641,45.31737
64.14641,45.51834
64.20642,45.71930
64.26643,45.91806
64.32643,46.11926
64.38644,46.32022
64.44644,46.52093
64.50645,46.72267
64.56646,46.92370
64.62646,47.12508
64.68647,47.32731
64.74647,47.52833
64.80648,47.72882
64.86649,47.92999
64.92649,48.13117
64.98650,48.33168
65.04650,48.53349
65.10651,48.73448
65.16652,48.93629
65.22652,49.13819
65.28653,49.33940
65.34653,49.54051
65.40654,49.74185
65.46655,49.94306
65.52655,50.14560
65.58656,50.34801
65.64656,50.55194
65.70657,50.75541
65.76658,50.95683
65.82658,51.16075
65.88659,51.36289
65.94659,51.56430
66.00660,51.76706
66.06661,51.96886
66.12661,52.17151
66.18662,52.37422
66.24662,52.57658
66.30663,52.78033
66.36664,52.98210
66.42664,53.18559
66.48665,53.38959
66.54665,53.59324
66.60666,53.79543
66.66667,53.99731
66.72667,54.19942
66.78668,54.40291
66.84668,54.60598
66.90669,54.80947
66.96670,55.01203
67.02670,55.21609
67.08671,55.41857
67.14671,55.62265
67.20672,55.82654
67.26673,56.02943
67.32673,56.23244
67.38674,56.43736
67.44674,56.64095
67.50675,56.84573
67.56676,57.05183
67.62676,57.25592
67.68677,57.46078
67.74677,57.66387
67.80678,57.86840
67.86679,58.07138
67.92679,58.27621
67.98680,58.48077
68.04680,58.68586
68.10681,58.89120
68.16682,59.09532
68.22682,59.30168
68.28683,59.50660
68.34683,59.71177
68.40684,59.91682
68.46685,60.12280
68.52685,60.32910
68.58686,60.53475
68.64686,60.74204
68.70687,60.94747
68.76688,61.15472
68.82688,61.36014
68.88689,61.56515
68.94689,61.77198
69.00690,61.97851
69.06691,62.18461
69.12691,62.39005
69.18692,62.59676
69.24692,62.80190
69.30693,63.00818
69.36694,63.21540
69.42694,63.42398
69.48695,63.63087
69.54695,63.83730
69.60696,64.04442
69.66697,64.25016
69.72697,64.45712
69.78698,64.66372
69.84698,64.86953
69.90699,65.07844
69.96700,65.28602
70.02700,65.49255
70.08701,65.69964
70.14701,65.90765
70.20702,66.11649
70.26703,66.32568
70.32703,66.53329
70.38704,66.74118
70.44704,66.94919
70.50705,67.15781
70.56706,67.36543
70.62706,67.57367
70.68707,67.78114
70.74707,67.99004
70.80708,68.19796
70.86709,68.40729
70.92709,68.61704
70.98710,68.82493
71.04710,69.03247
71.10711,69.24008
71.16712,69.44979
71.22712,69.65777
71.28713,69.86648
71.34713,70.07552
71.40714,70.28591
71.46715,70.49394
71.52715,70.70382
71.58716,70.91318
71.64716,71.12121
71.70717,71.33256
71.76718,71.54191
71.82718,71.75171
71.88719,71.96313
71.94719,72.17477
72.00720,72.38406
72.06721,72.59426
72.12721,72.80528
72.18722,73.01698
72.24722,73.22561
72.30723,73.43595
72.36724,73.64620
72.42724,73.85653
72.48725,74.06529
72.54725,74.27551
72.60726,74.48493
72.66727,74.69612
72.72727,74.90744
72.78728,75.11948
72.84728,75.32902
72.90729,75.54139
72.96730,75.75248
73.02730,75.96463
73.08731,76.17618
73.14731,76.38883
73.20732,76.59982
73.26733,76.81177
73.32733,77.02231
73.38734,77.23578
73.44734,77.44837
73.50735,77.66033
73.56736,77.87092
73.62736,78.08396
73.68737,78.29744
73.74737,78.50885
73.80738,78.72081
73.86739,78.93315
73.92739,79.14534
73.98740,79.35767
74.04740,79.56954
74.10741,79.78225
74.16742,79.99355
74.22742,80.20552
74.28743,80.41861
74.34743,80.63135
74.40744,80.84377
74.46745,81.05813
74.52745,81.27085
74.58746,81.48563
74.64746,81.69854
74.70747,81.91167
74.76748,82.12405
74.82748,82.33710
74.88749,82.54921
74.94749,82.76353
75.00750,82.97578
75.06751,83.18933
75.12751,83.40391
75.18752,83.61721
75.24752,83.83086
75.30753,84.04508
75.36754,84.25917
75.42754,84.47176
75.48755,84.68604
75.54755,84.89996
75.60756,85.11445
75.66757,85.32750
75.72757,85.54307
75.78758,85.75863
75.84758,85.97465
75.90759,86.18962
75.96760,86.40334
76.02760,86.61915
76.08761,86.83373
76.14761,87.04885
76.20762,87.26506
76.26763,87.48081
76.32763,87.69598
76.38764,87.91004
76.44764,88.12737
76.50765,88.34407
76.56766,88.55936
76.62766,88.77702
76.68767,88.99395
76.74767,89.20864
76.80768,89.42375
76.86769,89.63845
76.92769,89.85492
76.98770,90.07160
77.04770,90.28652
77.10771,90.50312
77.16772,90.71777
77.22772,90.93518
77.28773,91.15358
77.34773,91.36874
77.40774,91.58473
77.46775,91.80097
77.52775,92.01869
77.58776,92.23568
77.64776,92.45436
77.70777,92.67223
77.76778,92.88894
77.82778,93.10622
77.88779,93.32346
77.94779,93.54054
78.00780,93.75741
78.06781,93.97500
78.12781,94.19362
78.18782,94.41072
78.24782,94.62708
78.30783,94.84674
78.36784,95.06602
78.42784,95.28450
78.48785,95.50311
78.54785,95.72045
78.60786,95.93821
78.66787,96.15592
78.72787,96.37358
78.78788,96.59302
78.84788,96.81198
78.90789,97.03029
78.96790,97.24820
79.02790,97.46691
79.08791,97.68567
79.14791,97.90462
79.20792,98.12486
79.26793,98.34376
79.32793,98.56214
79.38794,98.78241
79.44794,99.00313
79.50795,99.22277
79.56796,99.44307
79.62796,99.66325
79.68797,99.88285
79.74797,100.10164
79.80798,100.32068
79.86799,100.53904
79.92799,100.75937
79.98800,100.97989
80.04800,101.20122
80.10801,101.42114
80.16802,101.64016
80.22802,101.86240
80.28803,102.08161
80.34803,102.30393
80.40804,102.52449
80.46805,102.74586
80.52805,102.96603
80.58806,103.18725
80.64806,103.40732
80.70807,103.62835
80.76808,103.84965
80.82808,104.06956
80.88809,104.29011
80.94809,104.51234
81.00810,104.73263
81.06811,104.95300
81.12811,105.17388
81.18812,105.39523
81.24812,105.61764
81.30813,105.84081
81.36814,106.06340
81.42814,106.28572
81.48815,106.50691
81.54815,106.72946
81.60816,106.95216
81.66817,107.17522
81.72817,107.39883
81.78818,107.61958
81.84818,107.84144
81.90819,108.06409
81.96820,108.28551
82.02820,108.50716
82.08821,108.73058
82.14821,108.95445
82.20822,109.17838
82.26823,109.40053
82.32823,109.62487
82.38824,109.84791
82.44824,110.07128
82.50825,110.29327
82.56826,110.51494
82.62826,110.73868
82.68827,110.96282
82.74827,111.18572
82.80828,111.40851
82.86829,111.63052
82.92829,111.85503
82.98830,112.07928
83.04830,112.30325
83.10831,112.52531
83.16832,112.74951
83.22832,112.97426
83.28833,113.19967
83.34833,113.42362
83.40834,113.64792
83.46835,113.87223
83.52835,114.09763
83.58836,114.32241
83.64836,114.54642
83.70837,114.77123
83.76838,114.99745
83.82838,115.22207
